Image ID,anno_id
PTXH220831043,sub_106
PTXH220901015,sub_107
PTXH220901035,sub_108
PTXH220902049,sub_109
PTXH220903006,sub_110
PTXH220903021,sub_111
PTXH220905028,sub_112
PTXH220907007,sub_113
PTXH220907025,sub_114
PTXH220907027,sub_115
PTXH220907032,sub_116
PTXH220907041,sub_117
PTXH220909022,sub_118
PTXH220909024,sub_119
PTXH220913002,sub_120
PTXH220913026,sub_121
PTXH220913051,sub_122
PTXH220916025,sub_123
PTXH220916029,sub_124
PTXH220919044,sub_125
PTXH220920013,sub_126
PTXH220921025,sub_127
PTXH220922044,sub_128
PTXH220922047,sub_129
PTXH220923006,sub_130
PTXH220923020,sub_131
PTXH220925013,sub_132
PTXH220926036,sub_133
PTXH220926059,sub_134
PTXH220927054,sub_135
PTXH220929019,sub_136
PTXH221007006,sub_137
PTXH221007028,sub_138
PTXH221008060,sub_139
PTXH221009032,sub_140
PTXH221012042,sub_141
PTXH221013006,sub_142
PTXH221013047,sub_143
PTXH221015024,sub_144
PTXH221019013,sub_145
PTXH221019019,sub_146
PTXH221019043,sub_147
PTXH221020036,sub_148
PTXH221021009,sub_149
PTXH221021028,sub_150
PTXH221022023,sub_151
PTXH221024017,sub_152
PTXH221024049,sub_153
PTXH221026015,sub_154
PTXH221028001,sub_155
PTXH221101008,sub_156
PTXH221101041,sub_157
PTXH221102026,sub_158
PTXH221103043,sub_159
PTXH221103050,sub_160
PTXH221104003,sub_161
PTXH221104033,sub_162
PTXH221107024,sub_163
PTXH221107040,sub_164
PTXH221107044,sub_165
PTXH221108006,sub_166
PTXH221108047,sub_167
PTXH221109026,sub_168
PTXH221109037,sub_169
PTXH221110010,sub_170
PTXH221110041,sub_171
PTXH221113016,sub_172
PTXH221115034,sub_173
PTXH221116014,sub_174
PTXH221117003,sub_175
PTXH221118001,sub_176
PTXH221119033,sub_177
PTXH221121044,sub_178
PTXH221122003,sub_179
PTXH221123016,sub_180
PTXH221123022,sub_181
PTXH221124019,sub_182
PTXH221126002,sub_183
PTXH221202012,sub_184
PTXH221202022,sub_185
PTXH221208017,sub_186
PTXH221209005,sub_187
PTXH221213027,sub_188
PTXH221213049,sub_189
PTXH221216022,sub_190
PTXH221219019,sub_191
PTXH221222030,sub_192
PTXH221230014,sub_193
PTXH221230015,sub_194
PTXH230103022,sub_195
PTXH230108002,sub_196
PTXH230109043,sub_197
PTXH230111028,sub_198
PTXH230113007,sub_199
PTXH230116003,sub_200
PTXH230116030,sub_201
PTXH230117009,sub_202
PTXH230119007,sub_203
PTXH230119011,sub_204
PTXH230127016,sub_205
PTXH230127024,sub_206
PTXH230127030,sub_207
PTXH230129010,sub_208
PTXH230201048,sub_209
PTXH230203032,sub_210
PTXH230205002,sub_211
PTXH230206011,sub_212
PTXH230206054,sub_213
PTXH230206065,sub_214
PTXH230207026,sub_215
PTXH230209001,sub_216
PTXH230209015,sub_217
PTXH230216003,sub_218
PTXH230218040,sub_219
PTXH230220014,sub_220
PTXH230220016,sub_221
PTXH230220032,sub_222
PTXH230223043,sub_223
PTXH230223065,sub_224
PTXH230226001,sub_225
PTXH230226022,sub_226
PTXH230226025,sub_227
PTXH230227002,sub_228
PTXH230227071,sub_229
PTXH230228051,sub_230
PTXH230301001,sub_231
PTXH230302021,sub_232
PTXH230302024,sub_233
PTXH230302057,sub_234
PTXH230303004,sub_235
PTXH230303023,sub_236
PTXH230303037,sub_237
PTXH230304012,sub_238
PTXH230304034,sub_239
PTXH230305008,sub_240
PTXH230306069,sub_241
PTXH230307041,sub_242
PTXH230309011,sub_243
PTXH230313005,sub_244
PTXH230313072,sub_245
PTXH230314048,sub_246
PTXH230315032,sub_247
PTXH230316043,sub_248
PTXH230316051,sub_249
PTXH230318026,sub_250
PTXH230318027,sub_251
PTXH230319021,sub_252
PTXH230320065,sub_253
PTXH230322003,sub_254
PTXH230323045,sub_255
PTXH230323053,sub_256
PTXH230325026,sub_257
PTXH230326010,sub_258
PTXH230326016,sub_259
PTXH230327045,sub_260
PTXH230327052,sub_261
PTXH230327064,sub_262
PTXH230328031,sub_263
PTXH230328054,sub_264
PTXH230329020,sub_265
PTXH230330005,sub_266
PTXH230330052,sub_267
PTXH230331021,sub_268
PTXH230402010,sub_269
PTXH230403020,sub_270
PTXH230404018,sub_271
PTXH230404041,sub_272
PTXH230405002,sub_273
PTXH230405028,sub_274
PTXH230406054,sub_275
PTXH230409007,sub_276
PTXH230410039,sub_277
PTXH230410041,sub_278
PTXH230411001,sub_279
PTXH230413056,sub_280
PTXH230414003,sub_281
PTXH230414019,sub_282
PTXH230414039,sub_283
PTXH230417070,sub_284
PTXH230417079,sub_285
PTXH230418015,sub_286
PTXH230421030,sub_287
PTXH230425052,sub_288
PTXH230425057,sub_289
PTXH230425058,sub_290
PTXH230427049,sub_291
PTXH230428045,sub_292
PTXH230503001,sub_293
PTXH230503002,sub_294
PTXH230503012,sub_295
PTXH230503032,sub_296
PTXH230503036,sub_297
PTXH230503043,sub_298
PTXH230504067,sub_299
PTXH230506026,sub_300
PTXH230507026,sub_301
PTXH230508009,sub_302
PTXH230508029,sub_303
PTXH230508047,sub_304
PTXH230510052,sub_305
PTXH230515010,sub_306
PTXH230515036,sub_307
PTXH230517014,sub_308
PTXH230517071,sub_309
PTXH230518009,sub_310
PTXH230518014,sub_311
PTXH230519029,sub_312
PTXH230519037,sub_313
PTXH230520029,sub_314
PTXH230521027,sub_315
PTXH230522004,sub_316
PTXH230530001,sub_317
PTXH230531001,sub_318
PTXH230601009,sub_319
PTXH230601020,sub_320
PTXH230602014,sub_321
PTXH230602023,sub_322
PTXH230605002,sub_323
PTXH230605023,sub_324
PTXH230605034,sub_325
PTXH230605040,sub_326
PTXH230607026,sub_327
PTXH230608034,sub_328
PTXH230610021,sub_329
PTXH230610027,sub_330
PTXH230617019,sub_331
PTXH230619014,sub_332
PTXH230619017,sub_333
PTXH230620045,sub_334
PTXH230621029,sub_335
PTXH230621038,sub_336
PTXH230625032,sub_337
PTXH230626028,sub_338
PTXH230626070,sub_339
PTXH230628041,sub_340
PTXH230703019,sub_341
PTXH230704008,sub_342
PTXH230708037,sub_343
PTXH230709005,sub_344
PTXH230710016,sub_345
PTXH230710024,sub_346
PTXH230711019,sub_347
PTXH230711057,sub_348
PTXH230712005,sub_349
PTXH230714003,sub_350
PTXH230714005,sub_351
PTXH230714047,sub_352
PTXH230715026,sub_353
PTXH230718037,sub_354
PTXH230719006,sub_355
PTXH230721051,sub_356
PTXH230722012,sub_357
PTXH230722016,sub_358
PTXH230723001,sub_359
PTXH230727052,sub_360
PTXH230728014,sub_361
PTXH230802031,sub_362
PTXH230803049,sub_363
PTXH230803053,sub_364
PTXH230804027,sub_365
PTXH230806018,sub_366
PTXH230810001,sub_367
PTXH230810027,sub_368
PTXH230813012,sub_369
PTXH230815041,sub_370
PTXH230818021,sub_371
PTXH230821009,sub_372
PTXH230827007,sub_373
PTXH230829011,sub_374
PTXH230905008,sub_375
PTXH230905045,sub_376
PTXH230907036,sub_377
PTXH230908015,sub_378
PTXH230910011,sub_379
PTXH230914024,sub_380
PTXH230919003,sub_381
PTXH230919044,sub_382
PTXH230920023,sub_383
PTXH230920032,sub_384
PTXH230924005,sub_385
PTXH230924016,sub_386
PTXH231005044,sub_387
PTXH231011032,sub_388
PTXH231012051,sub_389
PTXH231013017,sub_390
PTXH231013040,sub_391
PTXH231014004,sub_392
PTXH231014023,sub_393
PTXH231015005,sub_394
PTXH231018032,sub_395
PTXH231025026,sub_396
PTXH231025027,sub_397
PTXH231025028,sub_398
PTXH231027018,sub_399
PTXH231028002,sub_400
PTXH231030051,sub_401
PTXH231031037,sub_402
PTXH231103001,sub_403
PTXH231103027,sub_404
PTXH231104007,sub_405
PTXH231104019,sub_406
PTXH231104034,sub_407
PTXH231106001,sub_408
PTXH231111011,sub_409
PTXH231113026,sub_410
PTXH231122006,sub_411
PTXH231124007,sub_412
PTXH231126011,sub_413
PTXH231127006,sub_414
PTXH231128049,sub_415
PTXH231130011,sub_416
PTXH231205002,sub_417
PTXH231206030,sub_418
PTXH231213022,sub_419
PTXH231215012,sub_420
PTXH231216027,sub_421
PTXH231218042,sub_422
PTXH231219027,sub_423
PTXH231221004,sub_424
PTXH231222002,sub_425
PTXH231225018,sub_426
PTXH231225022,sub_427
PTXH231226008,sub_428
PTXH231230002,sub_429
PTXH240104045,sub_430
PTXH240110009,sub_431
PTXH240111030,sub_432
PTXH240112003,sub_433
PTXH240121011,sub_434
PTXH240122003,sub_435
PTXH240123027,sub_436
PTXH240127024,sub_437
PTXH240201038,sub_438
PTXH240216042,sub_439
PTXH240218010,sub_440
PTXH240222041,sub_441
PTXH240226037,sub_442
PTXH240226040,sub_443
PTXH240227010,sub_444
PTXH240228034,sub_445
PTXH240229009,sub_446
PTXH240229048,sub_447
PTXH240307014,sub_448
PTXH240313032,sub_449
PTXH240313034,sub_450
PTXH240314011,sub_451
PTXH240315001,sub_452
PTXH240315007,sub_453
PTXH240318035,sub_454
PTXH240318039,sub_455
PTXH240318044,sub_456
PTXH240319002,sub_457
PTXH240319015,sub_458
PTXH240321002,sub_459
PTXH240322024,sub_460
PTXH240322043,sub_461
PTXH240324009,sub_462
PTXH240326002,sub_463
PTXH240328017,sub_464
PTXH240401029,sub_465
PTXH240402027,sub_466
PTXH240403005,sub_467
PTXH240406016,sub_468
PTXH240406018,sub_469
PTXH240408045,sub_470
PTXH240409012,sub_471
PTXH240409028,sub_472
PTXH240410033,sub_473
PTXH240410049,sub_474
PTXH240412018,sub_475
PTXH240415043,sub_476
PTXH240416004,sub_477
PTXH240416053,sub_478
PTXH240416054,sub_479
PTXH240417010,sub_480
PTXH240417013,sub_481
PTXH240418019,sub_482
PTXH240418065,sub_483
PTXH240421008,sub_484
PTXH240422060,sub_485
PTXH240422068,sub_486
PTXH240423031,sub_487
PTXH240424015,sub_488
PTXH240424024,sub_489
PTXH240425045,sub_490
